SN_name,redshift,x1_stretch,distance_modulus,mu_error
18749,0.18948,-1.40939,39.7413,0.209197
6304,0.18995,-0.477836,39.7286,0.224725
20687,0.19042,-0.621992,39.6892,0.294972
20821,0.19546,-1.42751,40.1343,0.403955
1253920,0.19553,-0.740056,39.7111,0.156617
15674,0.19568,-0.328952,39.958,0.212325
000236,0.19616,-0.201493,39.7288,0.124812
15129,0.19621,-0.68294,39.7747,0.157962
1298893,0.19627,-2.05976,39.8397,0.254651
1334620,0.19635,-0.463394,39.8927,0.29342
15222,0.19817,-1.31897,39.7561,0.182544
18768,0.19908,-0.395911,40.0216,0.217638
110460,0.19953,-0.122892,39.8511,0.254227
500504,0.19961,-0.800981,39.6764,0.246154
560150,0.1997,-1.49121,39.8965,0.17155
19101,0.20077,-0.229311,39.6837,0.194976
590002,0.20128,-0.964653,39.8575,0.216953
6780,0.20279,-1.74956,39.8373,0.184965
14212,0.2032,-0.315612,39.9658,0.146626
16032,0.20331,-0.740612,39.9277,0.173799
18965,0.20469,-0.612498,39.8809,0.160012
17801,0.20523,-0.656693,40.1661,0.227714
15201,0.20748,-1.87784,40.316,0.333666
1283373,0.20751,-1.05273,40.0725,0.148972
20376,0.2084,-1.19101,39.7299,0.272182
16482,0.20948,-2.22105,39.8413,0.262138
460105,0.21084,-1.68923,39.9632,0.223017
18940,0.21114,-0.841378,39.9552,0.163264
1257366,0.21134,-0.160088,40.1415,0.266119
18927,0.21225,-0.578624,39.9374,0.243726
